Año,Mes,SumaPrecipitacion_mm,Demanda_Energia_SIN_kWh,Generación_kWh,Demanda_No_Atendida_kWh
2010.0,1.0,1747.2,4576940515.59,4617622906.17,2429210.0
2010.0,2.0,4212.2,4409459580.76,4410513783.96,2598730.0
2010.0,3.0,10779.6,4890121369.28,4887825487.68,6706580.0
2010.0,4.0,12311.9,4610754527.18,4607224800.89,3219540.0
2010.0,5.0,10861.4,4785909137.67,4781790771.86,4186230.0
2010.0,6.0,9885.6,4587074178.55,4635576095.31,2818000.0
2010.0,7.0,13345.5,4706751242.25,4759657546.83,3071360.0
2010.0,8.0,11365.7,4771810215.82,4820737187.63,2546480.0
2010.0,9.0,10786.0,4664845196.81,4733103164.81,3888540.0
2010.0,10.0,10318.9,4818696466.34,4923329386.69,5623330.0
2010.0,11.0,14641.4,4615735254.09,4812762749.07,5869920.0
2010.0,12.0,9221.0,4707231941.23,4895155836.45,5017010.0
2011.0,1.0,3821.6,4666629922.77,4842566313.13,3904770.0
2011.0,2.0,6001.5,4359000436.85,4480266312.61,4942500.0
2011.0,3.0,8691.5,4801205359.73,5052470409.8,5948560.0
2011.0,4.0,14090.3,4587452784.53,4681036145.27,9749280.0
2011.0,5.0,11731.7,4855477120.21,4922133510.77,3529520.0
2011.0,6.0,9126.2,4693726949.78,4747597968.1,4630340.0
2011.0,7.0,9335.3,4817043819.21,4860714550.73,2634760.0
2011.0,8.0,7175.8,4978716135.56,5033090064.91,12157720.0
2011.0,9.0,8094.2,4601694303.73,4950241351.29,4679680.0
2011.0,10.0,12768.1,4573200467.68,5032459604.23,3541900.0
2011.0,11.0,12606.6,4790823863.11,5009302035.29,4122040.0
2011.0,12.0,13657.800000000001,5013811457.14,5008549674.8,5203350.0
2012.0,1.0,10445.0,4806914288.88,4829512826.15,11111240.0
2012.0,2.0,87383.0,4631699497.36,4659502255.8,4542390.0
2012.0,3.0,89102.70000000001,5033862343.83,5064655531.99,3330240.0
2012.0,4.0,10961.0,4724690347.85,4773893186.79,4888180.0
2012.0,5.0,10631.0,5032708742.66,5081592366.72,3065760.0
2012.0,6.0,15438.9,4893700379.07,4929154771.28,20665570.0
2012.0,7.0,11679.3,5033978349.17,5090583590.27,6081300.0
2012.0,8.0,21634.9,5104311004.32,5144999160.26,20640920.0
2012.0,9.0,12643.3,5024614398.86,5145800297.25,3036800.0
2012.0,10.0,15125.7,5069525185.47,5128738248.99,3928800.0
2012.0,11.0,11540.3,4979617457.97,5055320527.66,5173150.0
2012.0,12.0,14947.6,5034274388.92,5085106715.86,2506950.0
2013.0,1.0,7657.599999999999,5025202450.52,5091849810.54,1509770.0
2013.0,2.0,15286.1,4609685803.18,4774535729.83,3236010.0
2013.0,3.0,14313.0,5033036815.86,5185015591.2,2602850.0
2013.0,4.0,13730.0,5106221045.2,5236006679.61,2711970.0
2013.0,5.0,16181.800000000001,5163347702.35,5385895967.61,2773530.0
2013.0,6.0,13380.85,4955012794.03,5052305654.84,2432880.0
2013.0,7.0,11390.63,5205500366.74,5320753822.66,3129510.0
2013.0,8.0,15611.6,5196476102.61,5246232869.82,2550280.0
2013.0,9.0,13645.2,5084604754.36,5131626517.85,2352870.0
2013.0,10.0,19252.4,5249049034.32,5295028270.22,11846100.0
2013.0,11.0,22723.7,5085699290.94,5153994874.22,5050840.0
2013.0,12.0,15237.6,5176440578.31,5323341631.1,2310050.0
